Id,IsDeleted,MasterRecordId,AccountId,IsPersonAccount,LastName,FirstName,Salutation,Name,RecordTypeId,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,OtherAddress.city,OtherAddress.country,OtherAddress.geocodeAccuracy,OtherAddress.latitude,OtherAddress.longitude,OtherAddress.postalCode,OtherAddress.state,OtherAddress.street,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,MailingAddress.city,MailingAddress.country,MailingAddress.geocodeAccuracy,MailingAddress.latitude,MailingAddress.longitude,MailingAddress.postalCode,MailingAddress.state,MailingAddress.street,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,CurrencyIsoCode,OwnerId,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,CanAllowPortalSelfReg,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,MayEdit,IsLocked,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,IndividualId,ActivityMetricId,EDY_ORGCUSTOM__DB__c,EDY_ORGCUSTOM__Old_Title__c,External_ID__c,SDO_PA_Inclusive_Preferred_Name__c,SDO_PA_Inclusive_Pronouns__c,SDO_PA_Inclusive_TDD_TTY__c,SDO_PA_Preferred_Contact_Channel__c,SDO_Cust360_CSAT__c,SDO_Cust360_ChurnRisk__c,SDO_Cust360_Contact_Picture_URL__c,SDO_Cust360_Id__c,SDO_Cust360_Metric1__c,SDO_Cust360_Metric2__c,SDO_PA_Year_of_Birth__c,SDO_Service_Month_of_Birth__c,SDO_Service_Primary_Messaging_User__c,SDO_Service_SMS_Message__c,Notes__c,SDO_SFS_Rider_BotContext__c,SDO_SFS_Rider_Enabled__c,SDO_SFS_Rider_ServiceTerritory__c,et4ae5__HasOptedOutOfMobile__c,et4ae5__Mobile_Country_Code__c,SDO_Certification_Level_c__c,pi__Needs_Score_Synced__c,pi__Pardot_Last_Scored_At__c,pi__campaign__c,pi__comments__c,pi__conversion_date__c,pi__conversion_object_name__c,pi__conversion_object_type__c,pi__created_date__c,pi__first_activity__c,pi__first_search_term__c,pi__first_search_type__c,pi__first_touch_url__c,pi__grade__c,pi__last_activity__c,pi__notes__c,pi__pardot_hard_bounced__c,pi__score__c,pi__url__c,pi__utm_campaign__c,pi__utm_content__c,pi__utm_medium__c,pi__utm_source__c,pi__utm_term__c,Ptnr_Onbd_Fmwk__Onboarding_Plan__c,Ptnr_Onbd_Fmwk__Onboarding_Start_Date__c,Ptnr_Onbd_Fmwk__Onboarding_Status__c,Ptnr_Onbd_Fmwk__Role_Function__c,SDO_MAPS_Dataset_Split__c,SDO_MAPS_Days_Since_Last_Visit__c,SDO_MAPS_Tag_Contact__c,SDO_MAPS_Value_Tier__c,SDO_SFS_Tracker_BotContext__c,SDO_SCOM_OOA_Access__c,SDO_SCOM_OOA_Approver__c,SDO_SCOM_OOA_Budget_Limit__c,Tech_External_Knowledge_URL__c,Support_Tier__c,External_Web_SDR_URL__c,Use_Case__c,Process_Trigger_1__c,Demo_Record__c,Enriched__c,Unified_Individual_ID__c,Honorary_Title__c,Seniority__c,Account__c,Direct_Reports__c,Total_Reports__c,Tier__c,Background__c
003Ka00003rtikvIAA,FALSE,,001Ka000041ygaDIAQ,FALSE,Murphy,Sean,Mr.,Sean Murphy,012Ka000001EVkoIAG,178 San Jose Ave,Santa Clara,CA,95125,USA,,,,[object Object],Santa Clara,USA,,,,95125,CA,178 San Jose Ave,178 San Jose Ave,Santa Clara,CA,95125,USA,37.310052,-121.873789,Block,[object Object],Santa Clara,USA,Block,37.310052,-121.873789,95125,CA,178 San Jose Ave,(576) 555-1964,(576) 555-0199,(576) 555-0188,576-275-7558,(576) 555-0191,(576) 555-0150,003Ka00003rtikrIAA,smurphy@example.com,Program Director,Marketing,Antony Leggett,Social Media,1968-01-26,,USD,005Ka000003m1lpIAA,FALSE,FALSE,FALSE,FALSE,2025-04-28T21:38:17.000+0000,005Ka000003m1lpIAA,2025-07-10T19:55:30.000+0000,005Ka0000046j43IAA,2025-07-10T19:55:30.000+0000,2025-08-02,,,TRUE,FALSE,2025-07-10T19:07:17.000+0000,2025-07-10T19:07:17.000+0000,,,FALSE,/services/images/photo/003Ka00003rtikvIAA,,,,,FALSE,,Contact.009,,He/Him/His,FALSE,Mobile Phone,,,,,,,,,,,Operations specialist with experience in workflow optimization and technology integration. Focuses on efficiency improvements and cost reduction initiatives.,,FALSE,,FALSE,,Professional,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Standard,,Generic,FALSE,FALSE,FALSE,a17f1023c06e978169e4a2f64893f935,,Senior,American Express Company,0,0,Basic,
003Ka00003svGuUIAU,FALSE,,001Ka000041ygbWIAQ,FALSE,Clark,Michelle,Ms.,Michelle Clark,012Ka000001EVkoIAG,,,,,,,,,,,,,,,,,,4444 Automation Avenue,Denver,CO,80222,USA,,,,[object Object],Denver,USA,,,,80222,CO,4444 Automation Avenue,(555) 456-4567,,(555) 456-4568,,,,003Ka00003svGtkIAE,mclark@example.com,DevOps Engineer,Engineering,,,1987-08-20,,USD,005Ka000003m1lpIAA,FALSE,FALSE,FALSE,FALSE,2025-06-21T00:27:33.000+0000,005Ka000003m1lpIAA,2025-07-10T19:55:27.000+0000,005Ka0000046j43IAA,2025-07-10T19:55:27.000+0000,,,,TRUE,FALSE,2025-07-10T19:07:17.000+0000,2025-07-10T19:07:17.000+0000,,,FALSE,/services/images/photo/003Ka00003svGuUIAU,,,,,FALSE,,Contact.182,,,FALSE,SMS,,,,,,,,,,,"DevOps engineer with expertise in CI/CD automation and infrastructure monitoring. Focuses on deployment pipelines, system reliability, and maintaining development environment consistency.",,FALSE,,FALSE,US,Associate,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,Not Started,All,,,,,,,,,,Standard,,Generic,FALSE,FALSE,FALSE,56d3ee037297e26f5a6706cede70135d,,Mid,Damask Holdings,0,0,Basic,
003Ka00003rtijXIAQ,FALSE,,001Ka000041yga7IAA,FALSE,Mortimer,Bob,Mr.,Bob Mortimer,012Ka000001EVkoIAG,2725 Quarry Rd,Montgomery,PA,19009,USA,,,,[object Object],Montgomery,USA,,,,19009,PA,2725 Quarry Rd,2725 Quarry Rd,Montgomery,PA,19009,USA,40.137219,-75.069134,Block,[object Object],Montgomery,USA,Block,40.137219,-75.069134,19009,PA,2725 Quarry Rd,(422) 555-5262,(422) 555-0199,(422) 555-0188,422-578-5922,(422) 555-0191,(422) 555-0150,,bmortimer@example.com,Chief Executive Officer,CEO,Jean Halsey,Partner,1990-01-31,"Entertaining executive known for his unconventional management style and ability to bring humor to workplace situations. Former solicitor turned comedian, brings creativity and levity to corporate environments.",USD,005Ka000003m1lpIAA,TRUE,FALSE,FALSE,FALSE,2025-04-28T21:38:17.000+0000,005Ka000003m1lpIAA,2025-07-10T22:32:45.000+0000,005Ka000003m1lpIAA,2025-07-10T22:32:45.000+0000,2025-07-25,,,TRUE,FALSE,2025-07-10T22:32:49.000+0000,2025-07-10T22:32:49.000+0000,,,FALSE,/services/images/photo/003Ka00003rtijXIAQ,,,0PKKa000002huTmOAI,,FALSE,,Contact.004,,He/Him/His,FALSE,Email,,,,,,,,,,,Senior executive with extensive experience in industrial automation and IoT solutions. Key decision maker for enterprise software implementations. Interested in AI-driven manufacturing optimization.,,FALSE,,FALSE,,Professional,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Premier,,Product Led Growth,FALSE,TRUE,FALSE,378653bc1c89c919a50c76f8ed245014,,C-level,3M Company,23,45,Premium,"[SEGMENT]: champion [USAGE_PERCENTILE]: 92 [SESSION_FREQUENCY]: daily [ERROR_RATE]: 0.5 [TENURE_MONTHS]: 15 [CURRENT_PLAN]: enterprise [CHURN_RISK]: low [CONVERSION_PROBABILITY]: 88
[SIGNUP]: 2024-04-28 [LAST_UPGRADE]: 2024-06-15 [LAST_LOGIN]: 2025-07-10
[PRIMARY_FEATURES]: custom_dashboards:85,team_collaboration:90,advanced_analytics:65 [SOPHISTICATION]: advanced [API_USAGE]: false [COLLABORATION]: high [VIRAL_BEHAVIOR]: true [VALUE_EVENTS_MONTHLY]: 25 [SUPPORT_TICKETS_MONTHLY]: 0 [PREMIUM_EXPLORATION]: true [USAGE_LIMITS_HIT]: 0

• CEO actively using platform for real-time business intelligence and KPI tracking
• Built comprehensive executive dashboards shared across leadership team
• Regular platform evangelist in all-hands meetings showcasing data insights
• Driving company-wide data literacy initiatives through platform adoption
• Interested in advanced predictive analytics for strategic planning"
003Ka00003rtikBIAQ,FALSE,,001Ka000041ygbTIAQ,FALSE,Basch,Michael,Mr.,Michael Basch,012Ka000001EVkoIAG,4191 Tamarus St,Clark,NV,89119,USA,,,,[object Object],Clark,USA,,,,89119,NV,4191 Tamarus St,4191 Tamarus St,Clark,NV,89119,USA,36.112837,-115.133268,Block,[object Object],Clark,USA,Block,36.112837,-115.133268,89119,NV,4191 Tamarus St,(753) 555-5337,(753) 555-0199,(753) 555-0188,753-261-6567,(753) 555-0191,(753) 555-0150,003Ka00003rtikAIAQ,mbasch@example.com,"VP, Procurement",Operations,Levar Barksdale,Social Media,1989-05-01,,USD,005Ka000003m1lpIAA,FALSE,FALSE,FALSE,FALSE,2025-04-28T21:38:17.000+0000,005Ka000003m1lpIAA,2025-07-10T19:55:32.000+0000,005Ka0000046j43IAA,2025-07-10T19:55:32.000+0000,2025-08-01,,,TRUE,FALSE,2025-07-10T19:07:52.000+0000,2025-07-10T19:07:52.000+0000,,,FALSE,/services/images/photo/003Ka00003rtikBIAQ,,,,,FALSE,,Contact.067,,He/Him/His,FALSE,Email,,,,,,,,,,,VP Procurement with expertise in vendor management and strategic sourcing. Champions cost optimization and supplier relationship management initiatives.,,FALSE,,FALSE,,Expert,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Premier,,Generic,FALSE,FALSE,FALSE,d23ff7b4f9268f15c52c3920e6a96715,,V-level,"American International Group, Inc.",0,0,Cancelled,
003Ka00003rtikeIAA,FALSE,,001Ka000041ygaVIAQ,FALSE,Harmon,Bradley,Mr.,Bradley Harmon,012Ka000001EVkoIAG,,Sedgwick,,,USA,,,,[object Object],Sedgwick,USA,,,,,,,899 N Broadview Ave,Wichita,KS,67208,USA,37.699042,-97.287656,Block,[object Object],Wichita,USA,Block,37.699042,-97.287656,67208,KS,899 N Broadview Ave,(261) 555-6425,(261) 555-0199,(261) 555-0188,,(261) 555-0191,(261) 555-0150,003Ka00003svRQJIA2,bharmon@example.com,EVP Business Development,Business Development,,Marketing Event,1984-10-31,,USD,005Ka000003m1lpIAA,FALSE,FALSE,FALSE,FALSE,2025-04-28T21:38:17.000+0000,005Ka000003m1lpIAA,2025-07-10T19:55:29.000+0000,005Ka0000046j43IAA,2025-07-10T19:55:29.000+0000,2025-05-04,,,TRUE,FALSE,2025-07-10T19:07:52.000+0000,2025-07-10T19:07:52.000+0000,,,FALSE,/services/images/photo/003Ka00003rtikeIAA,,,,,FALSE,,Contact.085,,He/Him/His,FALSE,Mobile Phone,,,,,,,,,,,Business development professional with focus on client acquisition and market expansion. Strong background in competitive analysis and strategic positioning.,,FALSE,,FALSE,,Professional,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Standard,,Generic,FALSE,FALSE,FALSE,7af9ac6ccbaa855c156a3df3c72bf298,,V-level,Google LLC,0,0,Cancelled,
003Ka00003svRhFIAU,FALSE,,001Ka000041ygaNIAQ,FALSE,Citrine,Ruby,Mrs.,Ruby Citrine,012Ka000001EVkoIAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555-6506,,,,,,,ruby.citrine@example.com,Product Operations,Product,,,1976-09-15,,USD,005Ka000003m1lpIAA,FALSE,FALSE,FALSE,FALSE,2025-06-23T21:40:09.000+0000,005Ka000003m1lpIAA,2025-07-10T19:55:27.000+0000,005Ka0000046j43IAA,2025-07-10T19:55:27.000+0000,,,,TRUE,FALSE,2025-07-10T19:07:17.000+0000,2025-07-10T19:07:17.000+0000,,,FALSE,/services/images/photo/003Ka00003svRhFIAU,,,,,FALSE,,Contact.495,,,FALSE,,,,,,,,,,,,,,FALSE,,FALSE,US,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,Not Started,All,,,,,,,,,,Premier,,Generic,FALSE,FALSE,TRUE,69db2b21a852f8e4891e56c91ffc7cc4,,Mid,Enterprise Products Partners L.P.,0,0,Basic,
003Ka00003svRYPIA2,FALSE,,001Ka000041yga5IAA,FALSE,Harris,Laura,Mrs.,Laura Harris,012Ka000001EVkoIAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555-0306,,,,,,003Ka00003svRPsIAM,laura.harris@example.com,Sales Manager,Sales,,,1983-06-20,,USD,005Ka000003m1lpIAA,FALSE,FALSE,FALSE,FALSE,2025-06-23T20:49:47.000+0000,005Ka000003m1lpIAA,2025-07-10T19:55:29.000+0000,005Ka0000046j43IAA,2025-07-10T19:55:29.000+0000,,,,TRUE,FALSE,,,,,FALSE,/services/images/photo/003Ka00003svRYPIA2,,,,,FALSE,,Contact.262,,,FALSE,,,,,,,,,,,,,,FALSE,,FALSE,US,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,Not Started,All,,,,,,,,,,Premier,,Generic,FALSE,FALSE,TRUE,2f3cc204681607c4e6566eeedeed7eb1,,Mid,Verde,0,0,Premium,
003Ka00003svRgPIAU,FALSE,,001Ka000041yga2IAA,FALSE,Navy,Link,Mrs.,Link Navy,012Ka000001EVkoIAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555-5106,,,,,,,link.navy@example.com,Product Marketing Manager,Product,,,1990-07-19,,USD,005Ka000003m1lpIAA,FALSE,FALSE,FALSE,FALSE,2025-06-23T21:38:17.000+0000,005Ka000003m1lpIAA,2025-07-10T19:55:32.000+0000,005Ka0000046j43IAA,2025-07-10T19:55:32.000+0000,,,,TRUE,FALSE,2025-07-10T05:09:29.000+0000,2025-07-10T05:09:29.000+0000,,,FALSE,/services/images/photo/003Ka00003svRgPIAU,,,,,FALSE,,Contact.455,,,FALSE,,,,,,,,,,,,,,FALSE,,FALSE,US,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,Not Started,All,,,,,,,,,,Premier,,Generic,FALSE,FALSE,TRUE,33244095afbf6f23682ca0294d6d2827,,Mid,McKesson Corporation,0,0,Premium,
003Ka00003svRh5IAE,FALSE,,001Ka000041ygbBIAQ,FALSE,Calcite,Haze,Mr.,Haze Calcite,012Ka000001EVkoIAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555-6402,,,,,,,haze.calcite@example.com,Account Director,Sales,,,1988-04-09,,USD,005Ka000003m1lpIAA,FALSE,FALSE,FALSE,FALSE,2025-06-23T21:39:52.000+0000,005Ka000003m1lpIAA,2025-07-10T19:55:29.000+0000,005Ka0000046j43IAA,2025-07-10T19:55:29.000+0000,,,,TRUE,FALSE,2025-07-10T05:09:29.000+0000,2025-07-10T05:09:29.000+0000,,,FALSE,/services/images/photo/003Ka00003svRh5IAE,,,,,FALSE,,Contact.487,,,FALSE,,,,,,,,,,,,,,FALSE,,FALSE,US,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,Not Started,All,,,,,,,,,,Premier,,Generic,FALSE,FALSE,TRUE,d03afe59e6f0186541fdfd786e4ddd53,,Mid,Comcast Corporation,0,0,Free,
003Ka00003svRhDIAU,FALSE,,001Ka000041ygaNIAQ,FALSE,Agate,Peak,Mr.,Peak Agate,012Ka000001EVkoIAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555-6504,,,,,,,peak.agate@example.com,Employee Experience,HR,,,1994-09-24,,USD,005Ka000003m1lpIAA,FALSE,FALSE,FALSE,FALSE,2025-06-23T21:40:09.000+0000,005Ka000003m1lpIAA,2025-07-10T19:55:30.000+0000,005Ka0000046j43IAA,2025-07-10T19:55:30.000+0000,,,,TRUE,FALSE,2025-07-10T05:09:29.000+0000,2025-07-10T05:09:29.000+0000,,,FALSE,/services/images/photo/003Ka00003svRhDIAU,,,,,FALSE,,Contact.493,,,FALSE,,,,,,,,,,,,,,FALSE,,FALSE,US,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,Not Started,All,,,,,,,,,,Premier,,Generic,FALSE,FALSE,TRUE,f338cf97496f30ea2cb3e6f14ff04a92,,Mid,Enterprise Products Partners L.P.,0,0,Premium,
